NC,sentence_nat_1,tag_sentence_nat_1,sentence_nat_2,tag_sentence_nat_2,sentence_nat_3,tag_sentence_nat_3,comp_score,gold_syn_1,gold_syn_2,gold_syn_3,sentence_neut,tag_sentence_neut,word_1,word_x,word_2,wordsyn
guardia forestale,"Sebbene alcuni dettagli debbano essere ancora definiti, ulteriori ammende saranno rilasciate ai perpetratori anche da parte dei ministeri delle finanze, dell'ambiente, e dalla guardia forestale","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True]",Pensate che è protetto dalla guardia forestale.,"[False, False, False, False, False, True, True]","Chiamò poi, con il cellulare, un amico del padre, guardia forestale , chiedendogli aiuto.","[False, False, False, False, False, False, False, False, False, True, True, False, False, False]",,corpo forestale,agenti dei boschi,guardiaboschi,Questa è una guardia forestale.,"[False, False, False, True, True]",sorvegliante,,boschivo,sorvegliante boschivo
doccia scozzese,"Spesso poi avanza effettivamente dell ' acqua calda a chi ha inserito una palata di gettoni per paura della doccia scozzese , non è quindi raro farsi una bella doccia calda a sbafo .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]","Una doccia scozzese che ha funzionato per la crescita , meno - dice Bernanke - per i conti pubblici .","[False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",""" La doccia scozzese facilita l ' afflusso del sangue al cervello e quindi giova ai cretini come te "" diceva .","[False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,sbalzo termico,shock,successione di fatti contrastanti,Questa è una doccia scozzese.,"[False, False, False, True, True]",lavaggio,,britannico,lavaggio britannico
sepolcri imbiancati,"Bravo padre , continui così contro i sepolcri imbiancati del Duemila e i fautori del falso perbenismo di facciata .","[False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False]","I lavoratori veri , e non le fittizie rappresentazioni con i sepolcri imbiancati che ancora oggi siedono al tavolo di contrattazione , hanno dimostrato di saper dire la loro e rendersi autorevolmente VISIBILI !","[False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Con tutti i problemi che ha il Paese questi sepolcri imbiancati , divorziati , finocchi con il c .. o degli altri ci impongono da mesi una discussione sui Dico .","[False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,ipocriti,persone false,finti onesti,Questi sono sepolcri imbiancati.,"[False, False, True, True]",tombe,,verniciate,tombe verniciate
minestra riscaldata,"Non perché sia una minestra riscaldata ( Berlusconi lo è molto di più ) , né perché lo danneggino gli scandaletti montati contro di lui , bensì per la non esaltante performance alla testa dell ' Ue .","[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Ma il puzzle non era completo , e questo Marcello Lippi - il figliol prodigo o la minestra riscaldata , a seconda dei critici - lo sapeva benissimo .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False]","E ha dimostrato anche un ' altra cosa : che la minestra riscaldata , quando è toscana , è buonissima .","[False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False]",,situazione passata riproposta,riproposizione,banalità,Questa è una minestra riscaldata.,"[False, False, False, True, True]",zuppa,,tiepida,zuppa tiepida
tempo reale,"Chiunque puo' inviare un suo articolo, che apparira' in tempo reale sul portale.","[False, False, False, False, False, False, False, False, False, True, True, False, False]",Le posizioni di tutti questi conti possono essere visualizzate in tempo reale .,"[False, False, False, False, False, False, False, False, False, False, True, True, False]",Tra qualche settimana sarà quindi possibile commentare una notizia o discuterne in tempo reale con altri utenti.,"[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False]",,Contemporaneo,istantaneo,concomitante,Questo è un tempo reale.,"[False, False, False, True, True]",epoca,,effettivo,momento effettivo
cassa automatica,Le casse automatiche sono già state aggiornate con le nuove tariffe.,"[False, True, True, False, False, False, False, False, False, False, False]","Il pagamento si effettua presso le casse automatiche situate all'interno del parcheggio, solo in contanti.","[False, False, False, False, False, False, True, True, False, False, False, False, False, False, False]","Presso gli uffici di via Ostiense 131/L si potrà pagare anche con il bancomat, utilizzando le casse automatiche , senza pagare commissioni.","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False]",,macchinette,pagamento automatico,terminali di vendita,Questa è una cassa automatica.,"[False, False, False, True, True]",terminale,,meccanico,terminale meccanico
disco rigido,"I cookie poi si distinguono in ""di sessione"" e ""persistenti"", i primi una volta scaricati vengono poi eliminati alla chiusura del Browser, i secondi invece vengono memorizzati sul disco rigido dell'utente/visitatore fino alla loro scadenza.","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False]","La procedura richiede di formattare il disco rigido e, di conseguenza, comporta la perdita di tutti i propri dati.","[False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False]",Se sul tuo disco rigido sono presenti dei files duplicati che ne riducono la capacità Easy Duplicate Finder te li mostrerà e ti permetterà di correre ai ripari.,"[False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,hard disk,unità di memoria,disco fisso,Questo è un disco rigido.,"[False, False, False, True, True]",piatto,,duro,piatto duro
pesce piccolo,"A sua volta , in questo gioco in cui pesce grosso mangia pesce piccolo , Tci è stata comprata da mamma At & t .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False]",Una succinta lettura della cartelletta mi confermò che avevo preso un pesce piccolo : era uno junkie di poco conto .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False]","Hejmo probabilmente era un « pesce piccolo » , ritiene l ' ex giudice , il cui nome sarebbe stato fatto circolare per coprire personaggi più in vista .","[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,figura irrilevante,persona poco influente,subalterno,Questo è un pesce piccolo.,"[False, False, False, True, True]",animale marino,,minuto,animale marino minuto
elogio sperticato,"L ' elogio sperticato e interessato che ne fanno gli anziani mi lascia qualche dubbio : i giovani hanno occhi , mani e cervelli svelti e perciò sono appetiti da una economia in cui dominano le macchine intelligenti e rapide .","[False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Il tweet successivo è un elogio sperticato al presidente Jair Bolsonaro, e al suo gran rifiuto dei 20 milioni ""neocoloniali"" dei grandi del mondo per spegnere gli incendi in Amazzonia.","[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Accanto a elogi sperticati , troviamo considerazioni più perplesse.","[False, False, True, True, False, False, False, False, False]",,lode eccessiva,adulazione,complimento esagerato,Questo è un elogio sperticato.,"[False, False, False, True, True]",lode,,esagerata,lode esagerata
acquolina in bocca,"de Munich che contiene veramente molte informazioni utili su dove pernottare , che cosa visitare , la storia della fiera , gli eventi di contorno , immagini e filmati di Monaco e della Baviera : l ' acquolina in bocca è assicurata .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False]","Con l ' acquolina in bocca gli avvoltoi roteavano sopra la mischia , attendendo la fine per scendere e far pascolo di carne .","[False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Ma ecco , per sua ulteriore sfortuna , comparire uno strano animale pezzato , bianco e nero , che si avvicinava guardingo , con l ' acquolina in bocca verso di lui .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False]",,desiderio di cibo,appetito stimolato,gola,Questa è una acquolina in bocca.,"[False, False, False, True, True, True]",saliva,in,cavo orale,saliva in cavo orale
cavallo di troia,"Difficile convincere il ministro dell ' Istruzione : la proposta dell ' Emilia Romagna rappresenta una vera e propria mina vagante , un cavallo di Troia in grado di riunire un ampio consenso anche nel centro - destra .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]","La settimana scorsa ha cominciato a circolare un "" cavallo di Troia "" che sembra offrire un programmino gratuito che offre un orologio che fa il conto alla rovescia al 2000 .","[False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Spesso , usando le esigenze del sostegno dei livelli di occupazione come cavallo di Troia , le opere sono state progettate e realizzate solo per generare flussi finanziari truffaldini .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,stratagemma ingannevole,insidia nascosta,inganno,Questo è un cavallo di troia.,"[False, False, False, True, True, True]",equino,di,città della Grecia,equino di città della Grecia
scala mobile,"In quasi sessant'anni non era mai stato al mare, non era mai salito in ascensore, né su una scala mobile .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Il colore rosso infatti si associa a una situazione di emergenza o di pericolo, come il bottone di allarme sull'ascensore, il rubinetto dell'idrante antincendio o il blocco di emergenza della scala mobile .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Avete l'esigenza di un ascensore, montacarichi, scala mobile , barriere architettoniche con spazi ridotti o di forma irregolare e avete già avuto dei preventivi con risposte negative per l'installazione, ""non arrendetevi ma consultateci, insieme troveremo la soluzione"".","[False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,scala automatica,sistema di trasporto elevatore,tappeto mobile,Questa è una scala mobile.,"[False, False, False, True, True]",gradinata,,movibile,gradinata movibile
catena montuosa,"La stazione sciistica della provincia di Smolyan che abbraccia la catena montuosa di Rhodope, nel sud della Bulgaria.","[False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False]","La catena montuosa si estende per circa 70000 ettari compresi tra le province di Macerata, Ascoli Piceno e Perugia.","[False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","L'Appennino, la catena montuosa che percorre come un'ossatura tutta l'Italia peninsulare, ha inizio all'altezza del passo del Turchino, fra Genova Voltri e Alessandria.","[False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,sistema di rilievi,cordigliera,successione di monti,Questa è una catena montuosa.,"[False, False, False, True, True]",legame,,montagnoso,legame montagnoso
carne da macello,"Qualcuno , come succede a chi è indifeso , aveva loro estorto anche un milione per caricarli in una stiva , come carne da macello , per un viaggio con l ' obiettivo di "" cambiare vita "" .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Ma , intanto , continua a essere la preda e nello stesso tempo la carne da macello della nostra comunicazione .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False]","Se dobbiamo essere solo carne da macello e non avere più la possibilità d ' indignarci quando le cose vanno storte , beh , ce lo dicano chiaramente .","[False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,soldati sacrificabili,truppe destinate a morire,persone sacrificabili,Questa è una carne da macello.,"[False, False, False, True, True, True]",tessuto,da,mattatoio,tessuto da mattatoio
arma bianca,"La diagnosi riscontrata da i sanitari parla di: ""trauma penetrante del torace, addome con ferite multiple da arma bianca , profonda ferita da taglio della regione temporale sx., ferita da taglio ginocchio dx"" .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Le lesioni da penetrazione si verificano quando un oggetto rompe la cute (ad esempio per effetto di un colpo d'arma da fuoco o di arma bianca ).,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",Il giovane magrebino è stato denunciato alla Procura della Repubblica di Fermo per detenzione ai fini spaccio di sostanza stupefacente e per porto abusivo di arma bianca .,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",,lama,coltello,strumento da taglio,Questa è una arma bianca.,"[False, False, False, True, True]",strumento offensivo,,chiaro,strumento offensivo chiaro
spina nel fianco,"Il terreno era fertile , certo , ma ciò non toglie che la sua voce strafottente risultasse comunque come una spina nel fianco , una mina vagante pronta a esplodere nel recinto sicuro dei benpensanti di ogni specie .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Da quel momento Bt fu costretta a fare continuamente i conti con un concorrente , una vera e propria spina nel fianco , che , visto con il senno di poi , si è rivelato un formidabile pungolo per il miglioramento del colosso britannico .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Elisabetta Tudor , dopo aver aiutato gli ugonotti e i ribelli dei Paesi Bassi , gli aveva sguinzagliato contro le sue ciurme corsare , una vera spina nel fianco della potenza spagnola .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False]",,tormento costante,fastidio perenne,ostacolo irritante,Questa è una spina nel fianco.,"[False, False, False, True, True, True]",aculeo,nel,lato,aculeo nel lato
uomo d'onore,"Essere chiamato uomo d'onore era un vanto, costituiva un titolo di merito, conferiva prestigio.","[False, False, True, True, False, False, False, False, False, False, False, False, False, False]","Winter Snake è un uomo d'onore e accetta l'esito del combattimento, esortando Zagor a ucciderlo.","[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False]","Uno cosi, con un cognome così, se non fosse stato per la tonaca che indossa, da presidente della squadra di calcio del San Luca sarebbe già stato tinto dai professionisti dell'antimafia come uomo d'onore .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",,mafioso,persona appartenente alla criminalità organizzata,affiliato alla criminalità organizzata,Questo è un uomo d'onore.,"[False, False, False, True, True]",individuo,di,rispetto,individuo di rispetto
pallone gonfiato,"Fu come bucare il pallone gonfiato della retorica pomposa di un certo antifascismo da fanfara , e furono in due a sgonfiarlo .","[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","All ' ex premier qualcuno dovrà pur spiegare , come a qualsiasi pallone gonfiato , che criticarlo non significa commettere un delitto di lesa maestà .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","dal vivo smonto in 1000 pezzetti te e tutte le fandonie che vai dicendo in giro da sempre sei un patetico pallone gonfiato , bugiardo e in malafede .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False]",,borioso,persona piena di sé,vanitoso,Questo è un pallone gonfiato.,"[False, False, False, True, True]",sfera,,dilatata,sfera dilatata
gatta morta,"La ragazza entra nella farmacia , fa la gatta morta con Youssef recitando la parte dell ' Ofelia lì lì per annegare .","[False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]","Il ménage - à - trois era completato dalla loro segretaria , Herminia , che li seguiva dovunque come un cane fedele e che tutti chiamavano Veleno perché , nonostante l ' apparenza da gatta morta , ci si poteva fidare di lei come di un serpente a sonagli in calore .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Se fosse una che ha recitato benissimo la parte della pentita , della redenta , solo per arrivare piano piano a mettere le mani sul banchiere , o su un avvocato , o un industriale ? Una simulatrice , una gatta morta . Un ' ipocrita che ci ha preso in giro tutti quanti .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",,opportunista finta tonta,persona ammiccante,dissimulatrice,Questa è una gatta morta.,"[False, False, False, True, True]",felino,,deceduto,felino deceduto
lingua biforcuta,comunque non bisognava sforare la cifra dei 6 MILIARDI A DISPOSIZIONE per gli inquadramenti ! ! ! Una bella lingua biforcuta ... !,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False]","Se non avrà le corna , la coda , gli occhi di fuoco e la lingua biforcuta , non avrà certamente un aspetto rassicurante .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False]","Hitchens allora ha seguito la conferenza tra il pubblico , e ha preso la parola dalla platea : « Hai la lingua biforcuta , sei ambiguo sul fondamentalismo » .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False]",,persona falsa,bugiardo,calunniatore,Questa è una lingua biforcuta.,"[False, False, False, True, True]",glossa,,divisa,glossa divisa
scherzo da prete,"Alla sera , quando è stato ufficializzato che Palander era finito sotto i ferri ad Helsinki , altro che pensare a uno scherzo da prete , si era persuaso ed era pure cavallerescamente dalla parte del rivale sfortunato : « Gli manderò una email o gli scriverò una lettera .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",SCHERZO della storia o scherzo da prete ? Se andrà in porto la grande alleanza tra Banca Intesa e Banca Commerciale il colpo di scena è clamoroso .,"[False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Poi l ' annuncio : la secessione era uno scherzo da prete . Fesso chi ci aveva creduto .,"[False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False]",,beffa,burla pesante,azione scorretta,Questo è un scherzo da prete.,"[False, False, False, True, True, True]",burla,da,religioso,burla da religioso
dissuasore di velocità,"In effetti il dissuasore di velocità è di dimensioni decisamente ""importanti"" e per questo assolve perfettamente alla sua funzione.","[False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]","Parliamo del dissuasore di velocità installato da qualche settimana in via San Mauro, all'angolo con via Nobel.","[False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","Nessun vigile, nessun controllo, nessun cartello, nessun dissuasore di velocità . ","[False, False, False, False, False, False, False, True, True, True, False]",,dosso artificiale,rallentatore stradale,barriera di rallentamento,Questo è un dissuasore di velocità.,"[False, False, False, True, True, True]",ostacolatore,di,rapidità,ostacolatore di rapidità
castelli in aria,"Fare castelli in aria per uno che si farà la barba sì e no una volta a settimana , che stupidaggine .","[False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Il resto , dallo smaltimento dei rifiuti , spesso gestito dai commissari regionali , ai poteri in materia di sviluppo economico , teoricamente basati sui distretti industriali , sono castelli in aria .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False]","Se hanno solo "" un paio di competenze che contano "" e il resto "" sono castelli in aria "" , perché tenerle ?","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False]",,sogni irrealizzabili,fantasie vane,progetti illusori,Questi sono castelli in aria.,"[False, False, True, True, True]",fortezze,in,cielo,fortezze in cielo
pozzo di scienza,"Il professore Niccolò ha avuto qualche dubbio quando ha detto : "" Siete un pozzo di scienza "" .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False]",Ognuno mette in campo ciò che può e non per forza tutti devono essere pozzi di scienza come mi sembra che non lo siano neanche gli autori di quella robaccia anche se hanno la pretesa di farsi chiamare giornalisti.,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Era stizzosa , da me si aspettava di più , credeva che sapessi rispondere a tutte le sue domande , si arrabbiava perché era convinta che fossi un pozzo di scienza e invece a ogni rigo scopriva che ignoravo la geografia locale , i cavilli delle amministrazioni , il funzionamento dei consigli comunali , le gerarchie di una banca , i delitti e le pene .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,colto,erudito,sapiente,Questo è un pozzo di scienza.,"[False, False, False, True, True, True]",cisterna,di,sapere,cisterna di sapere
magia nera,"Il mio amore per la cura naturale e i sistemi indigeni non mi rende cieco ai progressi compiuti dalla medicina occidentale, malgrado l'abbia stigmatizzata come magia nera .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",Non dimenticate di pulire aura e chakra come si fa sempre dopo ogni lavoro di magia nera .,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Potremo accettare o rifiutare ma, dato che Paido accetterà, finiremo comunque coinvolti in un terribile combattimento a colpi di magia nera .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",,negromanzia,stregoneria,arti occulte,Questa è una magia nera.,"[False, False, False, True, True]",incanto,,scuro,incanto scuro
peccato di gola,"Crema al Gianduja e Crema di Nocciole al Latte Una crema dolce , da spalmare , deve essere un peccato di gola che valga la pena , fino in fondo !","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False]","Il racconto sembrava sin troppo adatto a sgretolare l ' immagine di un boss potentissimo , capace di muovere centinaia di sentinelle ma che infine si era fatto beccare per un peccato di gola .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False]","« Padre McKean , per sua norma e regola questo è un sugo che può considerarsi un peccato di gola .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False]",,ingordigia,ghiottoneria,delizia,Questo è un peccato di gola.,"[False, False, False, True, True, True]",colpa,di,fauci,colpa di fauci
giornata nera,"... "" Ma la Morte non aveva voglia di conversare , tutto le scorreva intorno come acqua nel letto di un fiume , e la portinaia con le mani ai fianchi le disse ... "" Giornata nera , ehee ?","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False]","Durissimo anche il giudizio di Paolo Gentiloni , responsabile informazione della Margherita : una giornata nera per la democrazia .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False]","Giornata nera per Ruben Ramirez Hidalgo , che in coppia con Juan Brezizcki perde la finale del torneo di doppio dal duo croato Ancic / Dodig col punteggio di 46 76 ( 7 ) 10-4 .","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,giorno sfortunato,brutto giorno,giorno di crisi,Questa è una giornata nera.,"[False, False, False, True, True]",giorno,,scuro,giorno scuro
spada di damocle,"Quand ' ero bambino e studiavo a memoria la spigolatrice di "" Capri "" ... Il mio cliente , dopo essere vissuto per quasi un anno seduto su una spada di Damocle ... Ci sono condanne motivate non dal diritto , ma dalla ragion di Stato .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Il quale ricorda che sulla testa delle banche italiane pende la spada di Damocle del convertendo Fiat : ai prezzi attuali , la perdita sul bond Fiat da 3 miliardi dovrebbe aggirarsi attorno a 1,1 miliardi , cioè il 70 % della perdita originata dall ' esposizione verso Parmalat .","[False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Non capisco perché si possano programmare in tv film , telefilm d ' azione , thriller e fiction , senza passare alcun vaglio , mentre il nostro cinema migliore ha ancora questa spada di Damocle sulla testa : è un ' intollerabile discriminazione » .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False]",,pericolo incombente,minaccia latente,rischio costante,Questa è una spada di damocle.,"[False, False, False, True, True, True]",lama,di,cortigiano,lama di cortigiano
unione civile,"Temo che sia l'unione dell'uomo e della donna che chiede di arrivare ad una unione civile , ad un patto stretto, ma più facilmente scioglibile.","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False]",Due persone maggiorenni dello stesso sesso possono costituire un' unione civile e possono scegliere liberamente a quale Comune italiano rivolgersi per costituirla .,"[False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","Oggi, il figlio naturale nato dalla famiglia di fatto o dall' unione civile , è pesantemente discriminato rispetto al figlio nato dal matrimonio.","[False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False]",,legame legale non matrimoniale,convivenza registrata,patto di convivenza,Questa è una unione civile.,"[False, False, False, True, True]",legame,,sociale,legame sociale
settima arte,"Ancora una volta Biografilm fotografa la produzione cinematografica internazionale alla ricerca di nuove storie e autori, esplorando centinaia di titoli tra finzione e documentario per restituirci le linee guida dei quello che è la produzione contemporanea della settima arte .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Quest'anno andrà per la maggiore lo street food: alla fine di ogni film gli spettatori continueranno a discutere di settima arte davanti a un piatto ""buono, pulito e giusto"", così dice il motto di slow food. ","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Così si dovrebbe riassume in poche parole il lavoro, la passione e l'impegno di un uomo che ha donato alla settima arte il suo animo d'artista, diventando un personaggio unico nel panorama cinematografico e culturale mondiale.","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,cinema,cinematografia,grande schermo,Questa è una settima arte.,"[False, False, False, True, True]",numero sette,,tecnica,numero sette tecnica
